ann_finest_level,count
AT0,1000
AT1,1000
AT2,1000
AT2 proliferating,1000
Adventitial fibroblasts,1000
Alveolar Mph CCL3+,1000
Alveolar Mph MT-positive,1000
Alveolar Mph proliferating,1000
Alveolar fibroblasts,1000
Alveolar macrophages,1000
B cells,1000
Basal resting,1000
CD4 T cells,1000
CD8 T cells,1000
Classical monocytes,1000
Club (nasal),1000
Club (non-nasal),1000
DC1,1000
DC2,1000
Deuterosomal,1000
EC aerocyte capillary,1000
EC arterial,1000
EC general capillary,1000
EC venous pulmonary,1000
EC venous systemic,1000
Goblet (bronchial),1000
Goblet (nasal),1000
Goblet (subsegmental),1000
Hillock-like,1000
SMG serous (nasal),1000
Interstitial Mph perivascular,1000
Ionocyte,1000
Lymphatic EC differentiating,1000
Lymphatic EC mature,1000
Mast cells,1000
Mesothelium,1000
Migratory DCs,1000
Myofibroblasts,1000
Monocyte-derived Mph,1000
Multiciliated (nasal),1000
Multiciliated (non-nasal),1000
Non-classical monocytes,1000
NK cells,1000
Pericytes,1000
Peribronchial fibroblasts,1000
pre-TB secretory,1000
Smooth muscle,1000
Plasma cells,1000
Plasmacytoid DCs,1000
SM activated stress response,1000
SMG duct,1000
SMG mucous,1000
SMG serous (bronchial),1000
Subpleural fibroblasts,1000
T cells proliferating,1000
Suprabasal,1000
Tuft,641
Smooth muscle FAM83D+,553
Neuroendocrine,328
Hematopoietic stem cells,61
Lymphatic EC proliferating,28
