ann_finest_level,count
Unknown,623313
Alveolar macrophages,258823
AT2,155346
CD8 T cells,113641
Multiciliated (non-nasal),113074
Monocyte-derived Mph,88248
CD4 T cells,82698
Goblet (nasal),72359
Classical monocytes,64980
Suprabasal,60997
Basal resting,58040
NK cells,48439
EC general capillary,47353
Alveolar fibroblasts,38328
B cells,37863
Club (nasal),35644
Plasma cells,33111
AT1,32306
DC2,31359
Non-classical monocytes,26257
Adventitial fibroblasts,23259
Mast cells,21323
EC venous systemic,20254
EC aerocyte capillary,17230
Smooth muscle,16676
EC arterial,14724
Club (non-nasal),14722
EC venous pulmonary,11697
Lymphatic EC mature,11680
Pericytes,11680
Alveolar Mph CCL3+,11192
pre-TB secretory,11124
Peribronchial fibroblasts,8750
Interstitial Mph perivascular,8317
Hillock-like,5570
Multiciliated (nasal),5038
Alveolar Mph proliferating,4832
T cells proliferating,3908
Plasmacytoid DCs,3686
SMG serous (bronchial),2775
SMG serous (nasal),2504
Deuterosomal,2383
Migratory DCs,2360
Mesothelium,2261
Goblet (bronchial),2257
Myofibroblasts,1926
AT0,1815
Ionocyte,1803
SMG duct,1799
SM activated stress response,1788
DC1,1446
Alveolar Mph MT-positive,1444
SMG mucous,1425
AT2 proliferating,1367
Lymphatic EC differentiating,1359
Goblet (subsegmental),1190
Subpleural fibroblasts,1093
Tuft,641
Smooth muscle FAM83D+,553
Neuroendocrine,328
Hematopoietic stem cells,61
Lymphatic EC proliferating,28
