cell_type,precision,recall,f1
SMG mucous,0.9932885906040269,0.9866666666666667,0.9899665551839465
Plasma cells,0.9798657718120806,0.9733333333333334,0.9765886287625418
Mesothelium,0.9795918367346939,0.96,0.9696969696969697
Neuroendocrine,0.9423076923076923,0.98,0.9607843137254902
Plasmacytoid DCs,0.96,0.96,0.96
Mast cells,0.9363057324840764,0.98,0.9576547231270358
EC aerocyte capillary,0.959731543624161,0.9533333333333334,0.9565217391304348
Ionocyte,0.972027972027972,0.9266666666666666,0.9488054607508533
Goblet (subsegmental),0.9647887323943662,0.9133333333333333,0.9383561643835616
AT1,0.9647887323943662,0.9133333333333333,0.9383561643835616
T cells proliferating,1.0,0.8666666666666667,0.9285714285714286
DC1,0.9210526315789473,0.9333333333333333,0.9271523178807947
Deuterosomal,0.9637681159420289,0.8866666666666667,0.9236111111111112
Tuft,0.9354838709677419,0.90625,0.9206349206349206
Multiciliated (nasal),0.9568345323741008,0.8866666666666667,0.9204152249134948
SMG serous (bronchial),0.9256756756756757,0.9133333333333333,0.9194630872483222
Subpleural fibroblasts,0.9133333333333333,0.9133333333333333,0.9133333333333333
SMG serous (nasal),0.8860759493670886,0.9333333333333333,0.9090909090909091
Migratory DCs,0.9920634920634921,0.8333333333333334,0.9057971014492754
B cells,0.9618320610687023,0.84,0.896797153024911
Alveolar fibroblasts,0.8986486486486487,0.8866666666666667,0.8926174496644296
Myofibroblasts,0.8625,0.92,0.8903225806451613
Hillock-like,0.8926174496644296,0.8866666666666667,0.8896321070234113
Pericytes,0.9328358208955224,0.8333333333333334,0.8802816901408451
Multiciliated (non-nasal),0.8733333333333333,0.8733333333333333,0.8733333333333333
Lymphatic EC mature,0.8943661971830986,0.8466666666666667,0.8698630136986302
NK cells,0.8516129032258064,0.88,0.8655737704918033
SMG duct,0.8461538461538461,0.88,0.8627450980392157
EC arterial,0.8920863309352518,0.8266666666666667,0.8581314878892734
AT0,0.8590604026845637,0.8533333333333334,0.8561872909698997
Non-classical monocytes,0.8857142857142857,0.8266666666666667,0.8551724137931035
EC venous pulmonary,0.8689655172413793,0.84,0.8542372881355932
pre-TB secretory,0.8533333333333334,0.8533333333333334,0.8533333333333334
Club (nasal),0.8387096774193549,0.8666666666666667,0.8524590163934426
Goblet (bronchial),0.8732394366197183,0.8266666666666667,0.8493150684931506
Lymphatic EC differentiating,0.81875,0.8733333333333333,0.8451612903225807
Adventitial fibroblasts,0.8098159509202454,0.88,0.8434504792332268
Interstitial Mph perivascular,0.8714285714285714,0.8133333333333334,0.8413793103448276
EC venous systemic,0.7679558011049724,0.9266666666666666,0.8398791540785498
EC general capillary,0.8633093525179856,0.8,0.8304498269896193
Classical monocytes,0.7777777777777778,0.8866666666666667,0.8286604361370716
CD4 T cells,0.7831325301204819,0.8666666666666667,0.8227848101265823
Peribronchial fibroblasts,0.855072463768116,0.7866666666666666,0.8194444444444444
Club (non-nasal),0.7616279069767442,0.8733333333333333,0.8136645962732919
Goblet (nasal),0.8,0.7733333333333333,0.7864406779661017
Basal resting,0.6271186440677966,0.9866666666666667,0.7668393782383419
DC2,0.6402116402116402,0.8066666666666666,0.7138643067846607
Monocyte-derived Mph,0.6205128205128205,0.8066666666666666,0.7014492753623188
Lymphatic EC proliferating,1.0,0.5,0.6666666666666666
Suprabasal,0.7652173913043478,0.5866666666666667,0.6641509433962264
CD8 T cells,0.6793893129770993,0.5933333333333334,0.6334519572953736
AT2,0.4724137931034483,0.9133333333333333,0.6227272727272727
Smooth muscle,0.336734693877551,0.88,0.4870848708487085
Hematopoietic stem cells,0.6,0.3333333333333333,0.42857142857142855
Alveolar macrophages,0.21338155515370705,0.7866666666666666,0.3357041251778094
Alveolar Mph CCL3+,0.0,0.0,0.0
Alveolar Mph MT-positive,0.0,0.0,0.0
AT2 proliferating,0.0,0.0,0.0
Alveolar Mph proliferating,0.0,0.0,0.0
SM activated stress response,0.0,0.0,0.0
Smooth muscle FAM83D+,0.0,0.0,0.0
